clientnum,attrition_flag,customer_age,gender,dependent_count,education_level,marital_status,income_category,card_category,months_on_book,total_relationship_count,months_inactive_12_mon,contacts_count_12_mon,credit_limit,total_revolving_bal,avg_open_to_buy,total_amt_chng_q4_q1,total_trans_amt,total_trans_ct,total_ct_chng_q4_q1,avg_utilization_ratio,naive_bayes_classifier_attrition_flag_card_category_contacts_count_12_mon_dependent_count_education_level_months_inactive_12_mon_1,naive_bayes_classifier_attrition_flag_card_category_contacts_count_12_mon_dependent_count_education_level_months_inactive_12_mon_2,log_credit_limit,log_total_trans_amt,log_avg_utilization_ratio,log_total_trans_ct
710599683,-1.0,56,M,1,College,Single,$80K - $120K,Blue,36,3,6,0,11751.0,0,11751.0,3.397,1539,17,3.25,0.0,4.7799e-05,0.99995,9.371778717853713,7.3395376954076745,0.0,2.8903717578961645
816082233,-1.0,35,M,3,Graduate,Unknown,$60K - $80K,Blue,30,5,1,3,8547.0,1666,6881.0,1.163,1311,33,2.0,0.195,9.6126e-05,0.9999,9.053452616439039,7.179307969504034,0.178146185383474,3.5263605246161616
712396908,-1.0,57,F,2,Graduate,Married,Less than $40K,Blue,48,5,2,2,2436.0,680,1756.0,1.19,1570,29,0.611,0.279,0.00011382,0.99989,7.798523053625206,7.359467638255621,0.24607852259670565,3.4011973816621555
714885258,-1.0,44,M,4,Unknown,Unknown,$80K - $120K,Blue,37,5,1,2,4234.0,972,3262.0,1.707,1348,27,1.7,0.23,6.3492e-05,0.99994,8.351138607086154,7.207118856207756,0.20701416938432615,3.332204510175204
753327333,-1.0,41,M,3,Unknown,Married,$80K - $120K,Blue,34,4,4,1,13535.0,1291,12244.0,0.653,1028,21,1.625,0.095,0.00014953,0.99985,9.513108081846005,6.9363427358340495,0.09075436326846414,3.091042453358316
806160108,-1.0,61,M,1,High School,Married,$40K - $60K,Blue,56,2,2,3,3193.0,2517,676.0,1.831,1336,30,1.143,0.788,0.00017468,0.99983,8.069029328774958,7.198183577101943,0.5810976767513224,3.4339872044851463
709327383,-1.0,45,F,2,Graduate,Married,Unknown,Blue,37,6,1,2,14470.0,1157,13313.0,0.966,1207,21,0.909,0.08,5.5077e-05,0.99994,9.579901925737992,7.0967213784947605,0.07696104113612832,3.091042453358316
806165208,-1.0,47,M,1,Doctorate,Divorced,$60K - $80K,Blue,42,5,2,0,20979.0,1800,19179.0,0.906,1178,27,0.929,0.086,5.703e-05,0.99994,9.951324881950288,7.072421900537371,0.08250122151174369,3.332204510175204
708508758,-1.0,62,F,0,Graduate,Married,Less than $40K,Blue,49,2,3,3,1438.3,0,1438.3,1.047,692,16,0.6,0.0,0.99616,0.0038363,7.271912163268625,6.541029999189903,0.0,2.833213344056216
784725333,-1.0,41,M,3,High School,Married,$40K - $60K,Blue,33,4,2,1,4470.0,680,3790.0,1.608,931,18,1.571,0.152,6.9242e-05,0.99993,8.405367376233981,6.837332814685591,0.1414995622736995,2.9444389791664403
811604133,-1.0,47,F,4,Unknown,Single,Less than $40K,Blue,36,3,3,2,2492.0,1560,932.0,0.573,1126,23,0.353,0.626,0.00020735,0.99979,7.821242083523558,7.027314514039777,0.48612301112561884,3.1780538303479458
789124683,-1.0,54,M,2,Unknown,Married,$80K - $120K,Blue,42,4,2,3,12217.0,0,12217.0,1.075,1110,21,0.75,0.0,0.00021042,0.99979,9.410665553209713,7.01301578963963,0.0,3.091042453358316
771071958,-1.0,41,F,3,Graduate,Single,Less than $40K,Blue,28,6,1,2,7768.0,1669,6099.0,0.797,1051,22,0.833,0.215,5.7151e-05,0.99994,8.95789673495042,6.9584483932976555,0.1947440767925118,3.1354942159291497
720466383,-1.0,59,M,1,High School,Unknown,$40K - $60K,Blue,46,4,1,2,14784.0,1374,13410.0,0.921,1197,23,1.3,0.093,5.0256e-05,0.99995,9.601368432286577,7.088408778675395,0.08892620919440151,3.1780538303479458
804424383,-1.0,63,M,1,Unknown,Married,$60K - $80K,Blue,56,3,3,2,10215.0,1010,9205.0,0.843,1904,40,1.0,0.099,0.00018558,0.99981,9.231710397712375,7.552237287560802,0.09440067542148432,3.713572066704308
718813833,-1.0,44,F,3,Uneducated,Single,Unknown,Blue,34,5,2,2,10100.0,0,10100.0,0.525,1052,18,1.571,0.0,0.00012144,0.99988,9.220389707829185,6.959398512133975,0.0,2.9444389791664403
806624208,-1.0,47,M,4,High School,Married,$40K - $60K,Blue,42,6,0,0,4785.0,1362,3423.0,0.739,1045,38,0.9,0.285,7.6642e-06,0.99999,8.47345026846832,6.952728644624869,0.2507587183471831,3.6635616461296463
778348233,-1.0,53,M,3,Unknown,Married,$80K - $120K,Blue,33,3,2,3,2753.0,1811,942.0,0.977,1038,25,2.571,0.658,0.00021834,0.99978,7.9208096792886,6.946013991099227,0.5056120567131033,3.258096538021482
712991808,-1.0,53,M,2,Uneducated,Married,$60K - $80K,Blue,48,2,5,1,2451.0,1690,761.0,1.323,1596,26,1.6,0.69,0.00012458,0.99988,7.804659297056102,7.3758821482150125,0.5247285289349821,3.295836866004329
709029408,-1.0,41,M,4,Graduate,Married,$60K - $80K,Blue,36,4,1,2,8923.0,2517,6406.0,1.726,1589,24,1.667,0.282,5.7762e-05,0.99994,9.096499555552423,7.371489295214277,0.24842135849847827,3.2188758248682006
788658483,-1.0,53,F,2,College,Married,Less than $40K,Blue,38,5,2,3,2650.0,1490,1160.0,1.75,1411,28,1.0,0.562,0.00018612,0.99981,7.8826922062890254,7.252762418053187,0.44596705141749426,3.367295829986474
787937058,-1.0,58,M,0,Graduate,Married,$80K - $120K,Blue,49,6,2,2,12555.0,1696,10859.0,0.519,1291,24,0.714,0.135,9.7673e-05,0.9999,9.437953917961844,7.163946684342547,0.126632650933366,3.2188758248682006
715318008,-1.0,55,F,1,College,Single,Less than $40K,Blue,36,4,2,1,3520.0,1914,1606.0,0.51,1407,43,0.483,0.544,6.2639e-05,0.99994,8.166500319155052,7.249925536717988,0.4343764516025845,3.784189633918261
713962233,-1.0,55,F,3,Graduate,Married,Less than $40K,Blue,36,6,2,3,3035.0,2298,737.0,1.724,1877,37,1.176,0.757,0.00019864,0.9998,8.01829613851552,7.537962659768208,0.5636078092049601,3.6375861597263857
785432733,-1.0,42,F,4,High School,Married,Less than $40K,Gold,36,2,3,3,15433.0,0,15433.0,0.865,966,22,1.2,0.0,0.00035532,0.99964,9.644328147017548,6.874198495453294,0.0,3.1354942159291497
715190283,-1.0,57,F,1,Graduate,Unknown,$40K - $60K,Blue,49,3,3,2,3672.0,886,2786.0,1.32,1464,28,0.556,0.241,0.00016883,0.99983,8.208764045819667,7.289610521451167,0.21591750622247016,3.367295829986474
708300483,-1.0,66,F,0,Doctorate,Married,Unknown,Blue,56,5,4,3,7882.0,605,7277.0,1.052,704,16,0.143,0.077,0.9978,0.00219708,8.972463821059907,6.558197802812269,0.07417939817425151,2.833213344056216
758551608,-1.0,51,M,2,Unknown,Married,$40K - $60K,Blue,44,4,1,0,6205.0,2204,4001.0,0.803,1347,28,0.556,0.355,2.2331e-05,0.99998,8.733271845008325,7.206377291472252,0.3038014543316642,3.367295829986474
773146383,-1.0,50,F,1,College,Single,$40K - $60K,Silver,43,3,2,3,17304.0,2517,14787.0,1.449,1756,33,1.2,0.145,0.00015785,0.99984,9.758750756069444,7.471363088187097,0.13540463700620295,3.5263605246161616
778493808,-1.0,49,M,3,High School,Married,$60K - $80K,Blue,37,5,2,1,3906.0,0,3906.0,1.214,1756,32,1.0,0.0,6.9242e-05,0.99993,8.27052509505507,7.471363088187097,0.0,3.4965075614664802
720572508,-1.0,38,F,4,Graduate,Single,Unknown,Blue,28,2,3,3,9830.0,2055,7775.0,0.977,1042,23,0.917,0.209,0.00031726,0.99968,9.193295937366925,6.949856455000773,0.18979357163265562,3.1780538303479458
789172683,-1.0,56,M,2,Doctorate,Married,$60K - $80K,Blue,45,6,2,0,2283.0,1430,853.0,2.316,1741,27,0.588,0.626,6.0759e-05,0.99994,7.7336835707759,7.462789157412448,0.48612301112561884,3.332204510175204
738406533,-1.0,59,M,1,Doctorate,Married,$40K - $60K,Blue,52,3,2,2,2548.0,2020,528.0,2.357,1719,27,1.7,0.793,0.0001546,0.99985,7.8434564043761155,7.450079569807499,0.5838901946229959,3.332204510175204
799723908,-1.0,46,M,3,High School,Married,$80K - $120K,Blue,40,4,3,3,19458.0,1435,18023.0,0.787,1217,27,0.8,0.074,0.00030516,0.99969,9.876064966958156,7.1049654482698426,0.07138999608667293,3.332204510175204
771490833,-1.0,52,M,1,College,Single,$80K - $120K,Blue,40,5,1,1,4745.0,1227,3518.0,0.624,1140,40,0.6,0.259,3.031e-05,0.99997,8.465057436995709,7.039660349862076,0.2303177550622101,3.713572066704308
720756708,-1.0,52,F,3,Unknown,Married,Less than $40K,Blue,41,6,3,2,2622.0,1549,1073.0,1.321,1878,30,1.143,0.591,0.00020516,0.99979,7.872073979866873,7.538494999413465,0.4643627493556498,3.4339872044851463
779471883,-1.0,54,F,1,Graduate,Married,Less than $40K,Blue,40,2,3,1,1438.3,808,630.3,0.997,705,19,0.9,0.562,0.99028,0.00972,7.271912163268625,6.559615237493242,0.44596705141749426,2.995732273553991
711525033,-1.0,66,F,0,High School,Married,Less than $40K,Blue,54,3,4,2,3171.0,2179,992.0,1.224,1946,38,1.923,0.687,0.00018134,0.99982,8.06211758275474,7.5740450053721995,0.5229518035638313,3.6635616461296463
712813458,-1.0,49,M,2,Unknown,Married,$120K +,Blue,36,4,2,0,19763.0,2517,17246.0,0.664,1414,35,0.25,0.127,4.6151e-05,0.99995,9.891617379965641,7.254884810077338,0.11955923505763925,3.58351893845611
714374133,-1.0,56,M,2,Graduate,Married,$120K +,Blue,36,1,3,3,15769.0,0,15769.0,1.041,602,15,0.364,0.0,0.99671,0.00329379,9.665864679957084,6.401917196727186,0.0,2.772588722239781
717891558,-1.0,49,F,4,Graduate,Unknown,Less than $40K,Blue,36,6,4,2,3298.0,2200,1098.0,0.678,1052,32,0.6,0.667,0.00022797,0.99977,8.101374671228582,6.959398512133975,0.511025603768657,3.4965075614664802
716632758,-1.0,49,F,3,Graduate,Single,Less than $40K,Blue,36,2,2,0,2802.0,2363,439.0,0.75,1295,40,0.6,0.843,4.3568e-05,0.99996,7.938445551164788,7.16703787691222,0.6113946786876863,3.713572066704308
768563658,-1.0,56,M,2,Uneducated,Married,$40K - $60K,Blue,50,4,2,3,4458.0,1880,2578.0,1.107,1424,29,1.417,0.422,0.00019683,0.9998,8.402679804627477,7.261927092702751,0.35206433138104914,3.4011973816621555
711427458,-1.0,44,F,5,Graduate,Married,Unknown,Blue,35,4,1,2,6273.0,978,5295.0,2.275,1359,25,1.083,0.156,5.6861e-05,0.99994,8.744169388750624,7.215239978730097,0.14496577025018573,3.258096538021482
714091983,-1.0,42,M,2,High School,Single,$60K - $80K,Blue,34,4,4,3,3336.0,1753,1583.0,0.69,1168,27,1.25,0.525,0.00035539,0.99964,8.112827478751374,7.063903961472068,0.42199441005937494,3.332204510175204
787584108,-1.0,55,M,3,Unknown,Married,$80K - $120K,Blue,47,4,2,3,3436.0,2016,1420.0,0.901,1097,33,0.833,0.587,0.00021834,0.99978,8.142354276849835,7.001245622069476,0.461845441544272,3.5263605246161616
711481533,-1.0,39,M,1,High School,Divorced,$60K - $80K,Blue,33,5,3,3,5926.0,1251,4675.0,0.944,1316,28,1.154,0.211,0.00027604,0.99972,8.687273461787838,7.183111701743281,0.1914464645709552,3.367295829986474
708155733,-1.0,53,M,2,High School,Single,$120K +,Blue,44,4,2,2,14734.0,1634,13100.0,0.989,1289,23,0.917,0.111,0.00011065,0.99989,9.597980895171796,7.162397497355718,0.10526051065749295,3.1780538303479458
807986133,-1.0,57,M,2,College,Married,$60K - $80K,Blue,52,5,3,3,6584.0,1817,4767.0,0.62,1353,35,0.667,0.276,0.00029411,0.99971,8.792549614177382,7.21081845347222,0.24373018492259815,3.58351893845611
788730933,-1.0,44,F,2,Uneducated,Single,Less than $40K,Blue,20,6,3,3,2084.0,1468,616.0,1.004,1132,28,0.556,0.704,0.00031104,0.99969,7.642524134232902,7.0326242610280065,0.532978428407124,3.367295829986474
711314058,-1.0,49,M,2,Graduate,Married,$60K - $80K,Blue,32,2,2,2,1687.0,1107,580.0,1.715,1670,17,2.4,0.656,0.00011382,0.99989,7.431299675155903,7.421177528595393,0.504405055963068,2.8903717578961645
720096558,-1.0,55,F,2,Graduate,Married,Less than $40K,Blue,42,5,3,3,2216.0,1034,1182.0,0.758,1540,36,0.286,0.467,0.00030251,0.9997,7.7039102096163115,7.340186835320115,0.3832194991608447,3.6109179126442243
719580033,-1.0,54,M,1,Graduate,Unknown,$60K - $80K,Blue,43,4,2,3,2910.0,2030,880.0,0.769,1256,21,0.4,0.698,0.00017969,0.99982,7.976251943745623,7.136483208590247,0.5294510878891555,3.091042453358316
820582308,-1.0,42,M,5,Uneducated,Married,$80K - $120K,Blue,37,6,2,2,22913.0,1528,21385.0,0.414,1394,35,0.522,0.067,0.00012082,0.99988,10.03950335645357,7.240649694255466,0.06485097231961633,3.58351893845611
712876233,-1.0,53,M,2,Graduate,Single,$80K - $120K,Blue,36,5,3,2,5272.0,1515,3757.0,0.857,1289,33,0.435,0.287,0.00017987,0.99982,8.57035473953047,7.162397497355718,0.2523139286139896,3.5263605246161616
804595158,-1.0,44,F,4,Graduate,Single,Less than $40K,Blue,36,6,4,2,7000.0,2517,4483.0,0.475,1112,23,1.875,0.36,0.00022797,0.99977,8.853808274977197,7.014814351275545,0.3074846997479606,3.1780538303479458
714826758,-1.0,37,F,3,Uneducated,Single,Less than $40K,Blue,29,4,4,2,7038.0,1801,5237.0,0.751,2339,57,0.966,0.256,0.00023192,0.99977,8.85922139360813,7.757906208351747,0.22793206804600694,4.060443010546419
779058108,-1.0,49,M,3,Graduate,Divorced,$60K - $80K,Blue,30,6,1,2,2536.0,1823,713.0,0.703,1468,23,0.353,0.719,5.7151e-05,0.99994,7.838737559599282,7.292337176173877,0.5417427264007122,3.1780538303479458
715623483,-1.0,47,M,3,Graduate,Married,$60K - $80K,Blue,37,4,4,0,8567.0,1695,6872.0,1.242,1457,41,1.412,0.198,8.3212e-05,0.99992,9.055789612127585,7.284820912568604,0.1806534996932576,3.7376696182833684
711013983,-1.0,55,F,4,Unknown,Married,$40K - $60K,Blue,45,2,4,3,2158.0,0,2158.0,0.585,615,12,0.714,0.0,0.99763,0.00236635,7.677400430514807,6.423246963533519,0.0,2.5649493574615367
755420433,-1.0,59,F,1,Graduate,Married,Unknown,Blue,52,2,3,3,10133.0,1417,8716.0,0.383,1068,20,0.818,0.14,0.00028395,0.99972,9.223651386035854,6.974478911025045,0.13102826240640408,3.044522437723423
716396358,-1.0,52,M,2,Graduate,Married,$60K - $80K,Blue,47,5,3,0,3085.0,1910,1175.0,0.921,1531,35,0.667,0.619,6.6354e-05,0.99993,8.034631032923107,7.3343293503005365,0.4818086746954981,3.58351893845611
715398033,-1.0,53,M,2,High School,Single,$120K +,Blue,35,4,2,1,19040.0,2056,16984.0,0.607,1212,31,0.722,0.108,6.6728e-05,0.99993,9.85434982797458,7.10085190894405,0.10255658832509207,3.4657359027997265
711743883,-1.0,43,F,3,Uneducated,Single,Less than $40K,Blue,35,5,2,3,4026.0,0,4026.0,0.483,1237,32,0.6,0.0,0.00020424,0.9998,8.300776960851454,7.121252453244542,0.0,3.4965075614664802
719720058,-1.0,44,M,3,High School,Single,$60K - $80K,Blue,31,4,3,1,12756.0,837,11919.0,1.932,1413,14,1.8,0.066,0.00010943,0.99989,9.45383541953829,7.254177846456518,0.0639133257436528,2.70805020110221
778992108,-1.0,57,M,2,Unknown,Married,$120K +,Blue,45,5,3,3,5266.0,0,5266.0,1.702,1516,29,1.636,0.0,0.00033251,0.99967,8.569216219483389,7.324489979348532,0.0,3.4011973816621555
717539808,-1.0,51,F,2,High School,Single,Less than $40K,Blue,36,3,2,2,9930.0,0,9930.0,0.731,1276,21,1.333,0.0,0.00011065,0.99989,9.203416456903359,7.152268856032539,0.0,3.091042453358316
714107958,-1.0,45,M,1,Graduate,Single,$40K - $60K,Blue,36,4,4,3,6576.0,0,6576.0,0.579,1465,34,0.619,0.0,0.00034315,0.99966,8.79133399330135,7.290292882446597,0.0,3.5553480614894135
789140283,-1.0,53,M,0,Graduate,Single,$80K - $120K,Blue,42,5,4,1,2664.0,2037,627.0,0.85,1286,29,0.933,0.765,0.0001125,0.99989,7.887959336599945,7.160069207596127,0.56815069038526,3.4011973816621555
715550508,-1.0,45,F,3,Unknown,Married,Unknown,Blue,28,5,1,2,2535.0,2440,95.0,1.705,1312,20,1.222,0.963,6.282e-05,0.99994,7.8383433155571165,7.180069874302796,0.674473915294324,3.044522437723423
719712633,-1.0,64,M,1,Graduate,Married,Less than $40K,Blue,52,6,4,3,1709.0,895,814.0,1.656,1673,32,0.882,0.524,0.00034315,0.99966,7.444248649496705,7.422971251049421,0.42133845726445457,3.4965075614664802
772629333,-1.0,45,M,3,Graduate,Married,$40K - $60K,Blue,35,5,4,2,3454.0,1200,2254.0,0.597,1313,30,0.304,0.347,0.00022556,0.99977,8.14757773620177,7.1808311990445555,0.2978798974282269,3.4339872044851463
720336708,-1.0,53,M,3,Doctorate,Married,$40K - $60K,Blue,35,5,3,2,3789.0,1706,2083.0,1.047,1609,42,0.68,0.45,0.00027008,0.99973,8.240121298076472,7.383989457978509,0.37156355643248307,3.7612001156935624
802013583,-1.0,56,M,3,College,Married,$120K +,Blue,50,3,2,0,9689.0,2250,7439.0,0.576,1158,19,0.727,0.232,4.2358e-05,0.99996,9.178849704884811,7.055312843339752,0.20863886511132804,2.995732273553991
711887583,-1.0,47,M,2,Unknown,Married,$80K - $120K,Blue,37,2,3,3,5449.0,1628,3821.0,0.696,836,18,0.385,0.299,0.997,0.00299743,8.60337088765729,6.729824070489475,0.2615947376884625,2.9444389791664403
714778833,-1.0,49,F,3,College,Single,Unknown,Blue,43,4,4,0,23032.0,1960,21072.0,0.619,1289,22,1.0,0.085,8.0901e-05,0.99992,10.044683249202905,7.162397497355718,0.08157998699242289,3.1354942159291497
779155158,-1.0,53,M,3,Graduate,Married,$120K +,Blue,34,6,2,2,2940.0,1264,1676.0,0.562,1259,33,0.5,0.43,0.00011811,0.99988,7.9865049385539955,7.138866999945524,0.35767444427181594,3.5263605246161616
721091583,-1.0,44,F,2,Graduate,Single,Less than $40K,Blue,32,3,3,3,3031.0,1879,1152.0,0.788,1298,15,1.5,0.62,0.00030251,0.9997,8.016977746762262,7.1693500166706,0.4824261492442927,2.772588722239781
713572683,-1.0,44,M,3,High School,Unknown,$60K - $80K,Blue,25,3,3,0,1862.0,0,1862.0,0.883,1226,34,0.789,0.0,6.6935e-05,0.99993,7.529943370601589,7.112327444710911,0.0,3.5553480614894135
716657058,-1.0,43,F,4,Post-Graduate,Married,Less than $40K,Blue,33,2,3,3,8358.0,926,7432.0,0.762,1566,37,0.542,0.111,0.00037329,0.99963,9.031094081699155,7.356918242356021,0.10526051065749295,3.6375861597263857
717929133,-1.0,44,M,1,Uneducated,Married,$60K - $80K,Blue,36,5,2,3,14450.0,2440,12010.0,1.283,1235,30,0.667,0.169,0.00018475,0.99982,9.57851889529833,7.119635638017636,0.15614868248993136,3.4339872044851463
808284783,-1.0,62,F,1,Unknown,Married,Less than $40K,Blue,56,6,0,0,1438.3,0,1438.3,0.813,1951,44,1.095,0.0,7.7559e-06,0.99999,7.271912163268625,7.5766097669730375,0.0,3.8066624897703196
710916408,-1.0,57,M,4,Graduate,Married,$60K - $80K,Blue,39,4,3,0,8466.0,1886,6580.0,0.56,1342,32,0.391,0.223,6.9589e-05,0.99993,9.043931533642278,7.202661196523238,0.20130685670503531,3.4965075614664802
708492558,-1.0,42,M,3,Unknown,Married,$60K - $80K,Blue,36,5,3,3,15088.0,865,14223.0,0.939,1107,21,1.625,0.057,0.00034503,0.99965,9.62172128051365,7.010311867307229,0.055434706888100586,3.091042453358316
799825758,-1.0,42,M,4,High School,Divorced,$60K - $80K,Blue,36,5,1,2,3263.0,1674,1589.0,0.588,1251,35,0.346,0.513,5.6153e-05,0.99994,8.090708716083997,7.132497551660044,0.4140944348062189,3.58351893845611
718619883,-1.0,54,F,0,Uneducated,Married,Less than $40K,Blue,36,2,2,2,1494.0,706,788.0,1.674,1305,24,3.0,0.473,0.00010043,0.9999,7.3098814858247865,7.174724309836376,0.38730113748049316,3.2188758248682006
711844758,-1.0,48,M,3,Graduate,Single,$80K - $120K,Blue,35,6,1,0,13551.0,1294,12257.0,0.791,1388,37,1.056,0.095,2.1081e-05,0.99998,9.514289416891836,7.236339342754344,0.09075436326846414,3.6375861597263857
714798783,-1.0,49,M,1,Graduate,Single,$80K - $120K,Blue,36,6,2,2,18886.0,895,17991.0,1.826,1235,18,1.571,0.047,0.00010684,0.99989,9.846229133695847,7.119635638017636,0.045928931888399804,2.9444389791664403
826762908,-1.0,52,M,3,High School,Unknown,$80K - $120K,Blue,48,3,2,0,11976.0,1273,10703.0,1.024,2089,36,1.118,0.106,4.2354e-05,0.99996,9.390743422947507,7.644919344958857,0.10074990310014306,3.6109179126442243
771894558,-1.0,50,M,3,High School,Single,$80K - $120K,Blue,39,4,1,4,9964.0,1559,8405.0,1.873,1626,25,0.786,0.156,0.00015942,0.99984,9.206834232646894,7.394493107219038,0.14496577025018573,3.258096538021482
715259583,-1.0,53,F,2,High School,Married,Less than $40K,Blue,44,3,2,3,5362.0,1901,3461.0,0.816,1553,38,1.0,0.355,0.0001861,0.99981,8.587278798982926,7.348587530927593,0.3038014543316642,3.6635616461296463
719666283,-1.0,55,F,1,Doctorate,Married,Less than $40K,Blue,36,4,1,0,3174.0,1951,1223.0,0.766,1243,29,0.611,0.615,2.7596e-05,0.99997,8.063062911326792,7.126087273299125,0.47933495667461984,3.4011973816621555
714877233,-1.0,53,M,1,High School,Married,$80K - $120K,Blue,47,3,2,2,12262.0,1836,10426.0,1.584,1659,38,1.533,0.15,0.00010386,0.9999,9.414341877762027,7.414572881350589,0.1397619423751587,3.6635616461296463
785387883,-1.0,47,F,3,High School,Single,$40K - $60K,Blue,41,4,3,3,3788.0,1540,2248.0,0.566,1594,47,0.382,0.407,0.00030516,0.99969,8.239857411018601,7.374629015218945,0.341459778132252,3.871201010907891
711318033,-1.0,47,M,3,Graduate,Single,$60K - $80K,Blue,36,4,2,2,2926.0,0,2926.0,0.676,1304,24,0.846,0.0,0.00011811,0.99988,7.9817332866918855,7.173958319756794,0.0,3.2188758248682006
720201033,-1.0,53,M,2,Graduate,Married,$80K - $120K,Blue,41,3,3,2,11669.0,2227,9442.0,0.622,720,23,0.353,0.191,0.99447,0.00553,9.364776725280601,6.580639137284949,0.17479329037316305,3.1780538303479458
718039683,-1.0,52,M,2,High School,Single,$40K - $60K,Blue,45,3,1,2,13532.0,1300,12232.0,0.846,1521,29,1.417,0.096,5.3542e-05,0.99995,9.512886426076506,7.3277805384216315,0.0916671885258238,3.4011973816621555
710806083,-1.0,50,F,1,Uneducated,Unknown,Less than $40K,Silver,36,4,2,2,11888.0,2090,9798.0,0.7,1137,30,0.765,0.176,9.9255e-05,0.9999,9.383368881858544,7.037027614686276,0.16211884947643518,3.4339872044851463
714752208,-1.0,42,F,1,Graduate,Married,Less than $40K,Blue,36,5,1,2,2393.0,1985,408.0,0.788,978,16,0.778,0.83,5.1697e-05,0.99995,7.780720886117918,6.88653164253051,0.6043159668533294,2.833213344056216
822063408,-1.0,43,M,4,Unknown,Married,$40K - $60K,Blue,39,5,1,2,6111.0,2517,3594.0,0.632,1221,16,2.2,0.412,6.3492e-05,0.99994,8.718009330846357,7.108244139731541,0.34500713907105035,2.833213344056216
714490308,-1.0,57,M,4,Graduate,Married,$80K - $120K,Blue,46,3,2,3,19270.0,1662,17608.0,1.186,1565,28,1.545,0.086,0.00020077,0.9998,9.86635665419792,7.356279876550748,0.08250122151174369,3.367295829986474
713356833,-1.0,52,M,1,Graduate,Married,$80K - $120K,Blue,43,3,1,4,3710.0,2517,1193.0,1.541,1578,34,0.7,0.678,0.00014834,0.99985,8.219056661060598,7.364547014255642,0.5176026080450145,3.5553480614894135
711402333,-1.0,47,M,2,Doctorate,Single,Less than $40K,Blue,37,2,1,3,3235.0,797,2438.0,0.541,1493,32,1.0,0.246,0.00013405,0.99987,8.082093278178382,7.309212365692763,0.2199384203652614,3.4965075614664802
708296883,-1.0,44,F,3,Graduate,Single,$40K - $60K,Blue,38,3,1,0,11749.0,788,10961.0,0.688,1178,27,0.929,0.067,2.1081e-05,0.99998,9.371608519572305,7.072421900537371,0.06485097231961633,3.332204510175204
719154483,-1.0,53,M,2,High School,Divorced,$60K - $80K,Blue,36,5,3,2,7753.0,2100,5653.0,0.839,991,26,0.733,0.271,0.00017486,0.99983,8.955964118230874,6.899723107284872,0.23980399220731702,3.295836866004329
